Sukunimi,Etunimi,Eduskuntaryhmä,Vaalipiiri,Syntymäaika,Edustajatoimen tila,,,,,,,Edustajatoimen tila
Koskinen,Marjaana,,Varsinais-Suomen vaalipiiri,26.01.1962,ent,,,,,,,ent
Kosonen,Hanna,kesk,Kaakkois-Suomen vaalipiiri,27.02.1976,nyk,,,,,,,nyk
Kuisma,Risto,,Uudenmaan vaalipiiri,01.01.1947,ent,,,,,,,ent
Kulmala,Kari,ps,Savo-Karjalan vaalipiiri,21.04.1965,nyk,,,,,,,nyk
Kulmuni,Katri,kesk,Lapin vaalipiiri,04.09.1987,nyk,,,,,,,nyk
Kumpula-Natri,Miapetra,,Vaasan vaalipiiri,19.05.1972,ent,,,,,,,ent
Kuoppa,Mikko,,Pirkanmaan vaalipiiri,10.09.1944,ent,,,,,,,ent
Kurvinen,Antti,kesk,Vaasan vaalipiiri,14.07.1986,nyk,,,,,,,nyk
Kurvinen,Esko,,Oulun vaalipiiri,06.10.1952,ent,,,,,,,ent
Kuusisto,Merja,,Uudenmaan vaalipiiri,04.12.1954,ent,,,,,,,ent
Kyllönen,Merja,,Oulun vaalipiiri,25.01.1977,ent,,,,,,,ent
Kymäläinen,Suna,sd,Kaakkois-Suomen vaalipiiri,15.09.1976,nyk,,,,,,,nyk
Kähkönen,Lauri,,Pohjois-Karjalan vaalipiiri,19.02.1947,ent,,,,,,,ent
Kärkkäinen,Kari,,Kuopion vaalipiiri,29.01.1970,ent,,,,,,,ent
Kärnä,Jukka,,Kymen vaalipiiri,14.11.1955,ent,,,,,,,ent
Kärnä,Mikko,kesk,Lapin vaalipiiri,08.12.1980,nyk,,,,,,,nyk
Kääriäinen,Seppo,kesk,Savo-Karjalan vaalipiiri,29.03.1948,nyk,,,,,,,nyk
Laakso,Jaakko,,Uudenmaan vaalipiiri,20.05.1948,ent,,,,,,,ent
Lahtela,Esa,,Pohjois-Karjalan vaalipiiri,30.04.1949,ent,,,,,,,ent
Laitinen,Reijo,,Keski-Suomen vaalipiiri,20.02.1950,ent,,,,,,,ent
Laitinen-Pesola,Jaana,kok,Satakunnan vaalipiiri,06.09.1958,nyk,,,,,,,nyk
Lapintie,Annika,vas,Varsinais-Suomen vaalipiiri,18.03.1955,nyk,,,,,,,nyk
Larikka,Jari,,Kymen vaalipiiri,09.01.1965,ent,,,,,,,ent
Laukkanen,Antero,kd,Uudenmaan vaalipiiri,30.05.1958,nyk,,,,,,,nyk
Laukkanen,Markku,,Kymen vaalipiiri,20.12.1950,ent,,,,,,,ent
Lauslahti,Sanna,kok,Uudenmaan vaalipiiri,07.04.1966,nyk,,,,,,,nyk
Laxell,Jouko,,Varsinais-Suomen vaalipiiri,15.09.1947,ent,,,,,,,ent
Lehti,Eero,kok,Uudenmaan vaalipiiri,23.08.1944,nyk,,,,,,,nyk
Lehto,Rami,ps,Hämeen vaalipiiri,15.03.1973,nyk,,,,,,,nyk
Lehtomäki,Paula,,Helsingin vaalipiiri,29.11.1972,ent,,,,,,,ent
Lepomäki,Elina,kok,Uudenmaan vaalipiiri,23.10.1981,nyk,,,,,,,nyk
Leppä,Jari,kesk,Kaakkois-Suomen vaalipiiri,24.06.1959,nyk,,,,,,,nyk
Lindén,Suvi,,Oulun vaalipiiri,19.04.1962,ent,,,,,,,ent
Lindström,Jari,ps,Kaakkois-Suomen vaalipiiri,28.06.1965,nyk,,,,,,,nyk
Lindtman,Antti,sd,Uudenmaan vaalipiiri,11.08.1982,nyk,,,,,,,nyk
Lintilä,Mika,kesk,Vaasan vaalipiiri,15.04.1966,nyk,,,,,,,nyk
Lipponen,Päivi,,Helsingin vaalipiiri,25.06.1967,ent,,,,,,,ent
Lohela,Maria,ps,Varsinais-Suomen vaalipiiri,11.06.1978,nyk,,,,,,,nyk
Lohi,Markus,kesk,Lapin vaalipiiri,16.06.1972,nyk,,,,,,,nyk
Louhelainen,Anne,ps,Hämeen vaalipiiri,08.01.1965,nyk,,,,,,,nyk
Löfström,Mats,r,Ahvenanmaan maakunnan vaalipiiri,27.10.1983,nyk,,,,,,,nyk
Maijala,Eeva-Maria,kesk,Lapin vaalipiiri,23.12.1967,nyk,,,,,,,nyk
Manninen,Hannes,,Lapin vaalipiiri,20.12.1946,ent,,,,,,,ent
Marin,Sanna,sd,Pirkanmaan vaalipiiri,16.11.1985,nyk,,,,,,,nyk
Matikainen-Kallström,Marjo,,Uudenmaan vaalipiiri,03.02.1965,ent,,,,,,,ent
Mattila,Pirkko,ps,Oulun vaalipiiri,02.04.1964,nyk,,,,,,,nyk
Meri,Leena,ps,Uudenmaan vaalipiiri,12.04.1968,nyk,,,,,,,nyk
Mieto,Juha,,Vaasan vaalipiiri,20.11.1949,ent,,,,,,,ent
Mikkonen,Krista,vihr,Savo-Karjalan vaalipiiri,15.11.1972,nyk,,,,,,,nyk
Modig,Silvia,vas,Helsingin vaalipiiri,08.07.1976,nyk,,,,,,,nyk
Multala,Sari,kok,Uudenmaan vaalipiiri,05.07.1978,nyk,,,,,,,nyk
Mustajärvi,Markus,vas,Lapin vaalipiiri,24.02.1963,nyk,,,,,,,nyk
Mykkänen,Kai,kok,Uudenmaan vaalipiiri,31.07.1979,nyk,,,,,,,nyk
Myller,Riitta,sd,Savo-Karjalan vaalipiiri,12.07.1956,nyk,,,,,,,nyk
Myllykoski,Jari,vas,Satakunnan vaalipiiri,27.06.1959,nyk,,,,,,,nyk
Mäkelä,Jani,ps,Kaakkois-Suomen vaalipiiri,21.10.1976,nyk,,,,,,,nyk
Mäkelä,Jukka,,Uudenmaan vaalipiiri,07.07.1960,ent,,,,,,,ent
Mäkelä,Outi,kok,Uudenmaan vaalipiiri,16.08.1974,nyk,,,,,,,nyk
Mäkinen,Tapani,,Uudenmaan vaalipiiri,19.03.1965,ent,,,,,,,ent
Mäkipää,Lea,ps,Pirkanmaan vaalipiiri,06.05.1947,nyk,,,,,,,nyk
Mäkisalo-Ropponen,Merja,sd,Savo-Karjalan vaalipiiri,20.04.1958,nyk,,,,,,,nyk
Männistö,Lasse,,Helsingin vaalipiiri,16.03.1982,ent,,,,,,,ent
Mäntylä,Hanna,ps,Lapin vaalipiiri,19.09.1974,nyk,,,,,,,nyk
Mäntymaa,Markku,,Vaasan vaalipiiri,17.04.1954,ent,,,,,,,ent
Mölsä,Martti,ps,Pirkanmaan vaalipiiri,02.04.1952,nyk,,,,,,,nyk
Nauclér,Elisabeth,,Ahvenanmaan maakunnan vaalipiiri,07.03.1952,ent,,,,,,,ent
Nepponen,Olli,,Mikkelin vaalipiiri,22.09.1940,ent,,,,,,,ent
Niikko,Mika,ps,Uudenmaan vaalipiiri,20.01.1967,nyk,,,,,,,nyk
Niinistö,Jussi,ps,Uudenmaan vaalipiiri,27.10.1970,nyk,,,,,,,nyk
Niinistö,Sauli,,Uudenmaan vaalipiiri,24.08.1948,ent,,,,,,,ent
Niinistö,Ville,vihr,Varsinais-Suomen vaalipiiri,30.07.1976,nyk,,,,,,,nyk
Nordman,Håkan,,Vaasan vaalipiiri,08.07.1944,ent,,,,,,,ent
Nurmi,Tuija,,Hämeen vaalipiiri,19.03.1958,ent,,,,,,,ent
Nurminen,Ilmari,sd,Pirkanmaan vaalipiiri,24.02.1991,nyk,,,,,,,nyk
Nylander,Mikaela,r,Uudenmaan vaalipiiri,27.03.1970,nyk,,,,,,,nyk
Nylund,Mats,r,Vaasan vaalipiiri,01.08.1964,nyk,,,,,,,nyk
Oinonen,Lauri,,Keski-Suomen vaalipiiri,10.08.1947,ent,,,,,,,ent
Oinonen,Pentti,ps,Savo-Karjalan vaalipiiri,11.06.1952,nyk,,,,,,,nyk
Ojala-Niemelä,Johanna,sd,Lapin vaalipiiri,01.10.1974,nyk,,,,,,,nyk
Ojansuu-Kaunisto,Kirsi,,Hämeen vaalipiiri,15.12.1963,ent,,,,,,,ent
Ollila,Heikki A.,,Pirkanmaan vaalipiiri,26.05.1950,ent,,,,,,,ent
Orpo,Petteri,kok,Varsinais-Suomen vaalipiiri,03.11.1969,nyk,,,,,,,nyk
Paajanen,Reijo,,Kymen vaalipiiri,12.06.1950,ent,,,,,,,ent
Paasio,Heli,,Varsinais-Suomen vaalipiiri,24.11.1972,ent,,,,,,,ent
Paatero,Sirpa,sd,Kaakkois-Suomen vaalipiiri,09.09.1964,nyk,,,,,,,nyk
Packalén,Tom,ps,Helsingin vaalipiiri,05.10.1969,nyk,,,,,,,nyk
Pakkanen,Markku,kesk,Kaakkois-Suomen vaalipiiri,31.01.1960,nyk,,,,,,,nyk
Palm,Sari,,Kymen vaalipiiri,17.05.1966,ent,,,,,,,ent
Palola,Mikael,,Keski-Suomen vaalipiiri,13.01.1976,ent,,,,,,,ent
Paloniemi,Aila,kesk,Keski-Suomen vaalipiiri,28.01.1956,nyk,,,,,,,nyk
Parviainen,Olli-Poika,vihr,Pirkanmaan vaalipiiri,20.09.1980,nyk,,,,,,,nyk
Parviainen,Ulla,kesk,Oulun vaalipiiri,11.04.1962,nyk,,,,,,,nyk
Pekkarinen,Mauri,kesk,Keski-Suomen vaalipiiri,06.10.1947,nyk,,,,,,,nyk
Pekonen,Aino-Kaisa,vas,Hämeen vaalipiiri,24.01.1979,nyk,,,,,,,nyk
Pelkonen,Jaana,kok,Helsingin vaalipiiri,27.01.1977,nyk,,,,,,,nyk
Peltokorpi,Terhi,,Helsingin vaalipiiri,25.06.1975,ent,,,,,,,ent
Peltonen,Tuula,,Keski-Suomen vaalipiiri,04.09.1962,ent,,,,,,,ent
Pentti,Klaus,,Pirkanmaan vaalipiiri,17.03.1943,ent,,,,,,,ent
Perkiö,Sanna,,Helsingin vaalipiiri,28.03.1962,ent,,,,,,,ent
Pihlajaniemi,Petri,,Vaasan vaalipiiri,23.08.1968,ent,,,,,,,ent
Piirainen,Raimo,,Oulun vaalipiiri,22.12.1952,ent,,,,,,,ent
Pirttilahti,Arto,kesk,Pirkanmaan vaalipiiri,04.04.1963,nyk,,,,,,,nyk
Puhjo,Veijo,,Satakunnan vaalipiiri,26.06.1948,ent,,,,,,,ent
Pulliainen,Erkki,,Oulun vaalipiiri,23.06.1938,ent,,,,,,,ent
Puska,Pekka,kesk,Helsingin vaalipiiri,18.12.1945,nyk,,,,,,,nyk
Puumala,Tuomo,kesk,Vaasan vaalipiiri,03.04.1982,nyk,,,,,,,nyk
Pylväs,Juha,kesk,Oulun vaalipiiri,24.03.1971,nyk,,,,,,,nyk
Raassina,Sari,kok,Savo-Karjalan vaalipiiri,19.04.1963,nyk,,,,,,,nyk
Raatikainen,Mika,ps,Helsingin vaalipiiri,07.11.1961,nyk,,,,,,,nyk
Rajala,Lyly,,Oulun vaalipiiri,21.04.1951,ent,,,,,,,ent
Rajamäki,Kari,,Kuopion vaalipiiri,15.10.1948,ent,,,,,,,ent
Rantakangas,Antti,kesk,Oulun vaalipiiri,28.02.1964,nyk,,,,,,,nyk
Rauhala,Leena,,Pirkanmaan vaalipiiri,28.02.1942,ent,,,,,,,ent
Ravi,Pekka,,Pohjois-Karjalan vaalipiiri,26.11.1949,ent,,,,,,,ent
Razmyar,Nasima,sd,Helsingin vaalipiiri,13.09.1984,nyk,,,,,,,nyk
Rehn,Olli,,Helsingin vaalipiiri,31.03.1962,ent,,,,,,,ent
Rehn-Kivi,Veronica,r,Uudenmaan vaalipiiri,10.02.1956,nyk,,,,,,,nyk
Rehula,Juha,kesk,Hämeen vaalipiiri,03.06.1963,nyk,,,,,,,nyk
Reijonen,Eero,,Pohjois-Karjalan vaalipiiri,10.09.1947,ent,,,,,,,ent
Rinne,Antti,sd,Uudenmaan vaalipiiri,03.11.1962,nyk,,,,,,,nyk
Risikko,Paula,kok,Vaasan vaalipiiri,04.06.1960,nyk,,,,,,,nyk
