sukunimi,etunimi,ryhma,piiri,syntymapaika,status
Kärnä,Mikko,kesk,Lapin vaalipiiri,08.12.1980,nyk
Kääriäinen,Seppo,kesk,Savo-Karjalan vaalipiiri,29.03.1948,nyk
Laakso,Jaakko,,Uudenmaan vaalipiiri,20.05.1948,ent
Lahtela,Esa,,Pohjois-Karjalan vaalipiiri,30.04.1949,ent
Laitinen,Reijo,,Keski-Suomen vaalipiiri,20.02.1950,ent
Laitinen-Pesola,Jaana,kok,Satakunnan vaalipiiri,06.09.1958,nyk
Lapintie,Annika,vas,Varsinais-Suomen vaalipiiri,18.03.1955,nyk
Larikka,Jari,,Kymen vaalipiiri,09.01.1965,ent
Laukkanen,Antero,kd,Uudenmaan vaalipiiri,30.05.1958,nyk
Laukkanen,Markku,,Kymen vaalipiiri,20.12.1950,ent
Lauslahti,Sanna,kok,Uudenmaan vaalipiiri,07.04.1966,nyk
Laxell,Jouko,,Varsinais-Suomen vaalipiiri,15.09.1947,ent
Lehti,Eero,kok,Uudenmaan vaalipiiri,23.08.1944,nyk
Lehto,Rami,ps,Hämeen vaalipiiri,15.03.1973,nyk
Lehtomäki,Paula,,Helsingin vaalipiiri,29.11.1972,ent
Lepomäki,Elina,kok,Uudenmaan vaalipiiri,23.10.1981,nyk
Leppä,Jari,kesk,Kaakkois-Suomen vaalipiiri,24.06.1959,nyk
Lindén,Suvi,,Oulun vaalipiiri,19.04.1962,ent
Lindström,Jari,ps,Kaakkois-Suomen vaalipiiri,28.06.1965,nyk
Lindtman,Antti,sd,Uudenmaan vaalipiiri,11.08.1982,nyk
Lintilä,Mika,kesk,Vaasan vaalipiiri,15.04.1966,nyk
Lipponen,Päivi,,Helsingin vaalipiiri,25.06.1967,ent
Lohela,Maria,ps,Varsinais-Suomen vaalipiiri,11.06.1978,nyk
Lohi,Markus,kesk,Lapin vaalipiiri,16.06.1972,nyk
Louhelainen,Anne,ps,Hämeen vaalipiiri,08.01.1965,nyk
Löfström,Mats,r,Ahvenanmaan maakunnan vaalipiiri,27.10.1983,nyk
Maijala,Eeva-Maria,kesk,Lapin vaalipiiri,23.12.1967,nyk
Manninen,Hannes,,Lapin vaalipiiri,20.12.1946,ent
Marin,Sanna,sd,Pirkanmaan vaalipiiri,16.11.1985,nyk
Matikainen-Kallström,Marjo,,Uudenmaan vaalipiiri,03.02.1965,ent
Mattila,Pirkko,ps,Oulun vaalipiiri,02.04.1964,nyk
Meri,Leena,ps,Uudenmaan vaalipiiri,12.04.1968,nyk
Mieto,Juha,,Vaasan vaalipiiri,20.11.1949,ent
Mikkonen,Krista,vihr,Savo-Karjalan vaalipiiri,15.11.1972,nyk
Modig,Silvia,vas,Helsingin vaalipiiri,08.07.1976,nyk
Multala,Sari,kok,Uudenmaan vaalipiiri,05.07.1978,nyk
Mustajärvi,Markus,vas,Lapin vaalipiiri,24.02.1963,nyk
Mykkänen,Kai,kok,Uudenmaan vaalipiiri,31.07.1979,nyk
Myller,Riitta,sd,Savo-Karjalan vaalipiiri,12.07.1956,nyk
